Time,ring_jump_1_left_shoulder_angle,ring_jump_1_left_shoulder_angle_v,ring_jump_1_left_shoulder_angle_a,ring_jump_1_left_elbow_angle,ring_jump_1_left_elbow_angle_v,ring_jump_1_left_elbow_angle_a,ring_jump_1_left_wrist_angle,ring_jump_1_left_wrist_angle_v,ring_jump_1_left_wrist_angle_a,ring_jump_1_left_hip_angle,ring_jump_1_left_hip_angle_v,ring_jump_1_left_hip_angle_a,ring_jump_1_left_knee_angle,ring_jump_1_left_knee_angle_v,ring_jump_1_left_knee_angle_a,ring_jump_1_left_ankle_angle,ring_jump_1_left_ankle_angle_v,ring_jump_1_left_ankle_angle_a,ring_jump_1_right_shoulder_angle,ring_jump_1_right_shoulder_angle_v,ring_jump_1_right_shoulder_angle_a,ring_jump_1_right_elbow_angle,ring_jump_1_right_elbow_angle_v,ring_jump_1_right_elbow_angle_a,ring_jump_1_right_wrist_angle,ring_jump_1_right_wrist_angle_v,ring_jump_1_right_wrist_angle_a,ring_jump_1_right_hip_angle,ring_jump_1_right_hip_angle_v,ring_jump_1_right_hip_angle_a,ring_jump_1_right_knee_angle,ring_jump_1_right_knee_angle_v,ring_jump_1_right_knee_angle_a,ring_jump_1_right_ankle_angle,ring_jump_1_right_ankle_angle_v,ring_jump_1_right_ankle_angle_a,ring_jump_1_temple_spine_angle,ring_jump_1_temple_spine_angle_v,ring_jump_1_temple_spine_angle_a,ring_jump_1_spine_angle,ring_jump_1_spine_angle_v,ring_jump_1_spine_angle_a,ring_jump_1_spine_tail_angle,ring_jump_1_spine_tail_angle_v,ring_jump_1_spine_tail_angle_a,NeckAng,SpineAng,TailAng
2.683333,81.90761566,-388.38027954,-4637.20800781,107.14152527,-1245.29748535,-27425.02929688,127.56521606,-1773.80908203,-7368.87646484,91.67424774,613.01727295,2797.9765625,113.18434906,-113.34114075,-20532.85742188,127.1392746,-1045.48718262,-37862.82421875,67.42642212,53.71749878,1284.80895996,128.79795837,-68.58917236,-40159.234375,148.93722534,-1052.91943359,-21917.27929688,99.42611694,510.06005859,-2088.31079102,113.78674316,-393.25769043,-4914.43066406,107.75473022,-1162.70715332,-2868.79760742,171.90489197,186.92749023,-7476.34423828,170.9151001,33.55316162,216.59909058,124.09985352,305.66604614,26737.1171875,3.70622440227181,3.23932670953975,14.9968458241952
2.691667,77.56507111,-423.26873779,1248.73095703,92.56453705,-1412.79418945,-8101.63134766,108.12476349,-1607.46875,24671.84765625,97.16812134,593.32495117,-2337.10302734,109.45294189,-256.78778076,-9062.14648438,112.29985809,-1298.64489746,-8685.74121094,69.79354858,-29.97383118,-7386.45996094,125.8371048,-387.56088257,-42532.51953125,134.40641785,-1169.84277344,-7059.19726563,105.1774826,439.85113525,-5721.05371094,110.98349762,-378.00033569,3320.9543457,96.73680115,-1012.36730957,21197.31640625,175.77075195,18.58398438,-16000.03710938,175.54611206,43.52905273,-5156.17773438,131.58929443,476.35360718,10108.23925781,2.25103640835427,1.91354382002979,15.2228500012291
2.7,73.2879715,-372.5970459,6860.28369141,76.0746994,-1352.35327148,11224.53417969,92.60918427,-1303.6673584,43468.85546875,102.85424042,549.43823242,-6266.55859375,106.43884277,-266.18728638,2299.05126953,96.34298706,-1205.78820801,22481.94335938,73.7876358,-152.35015869,-11658.23046875,119.08367157,-776.60424805,-37661.51953125,123.79381561,-1036.85241699,5974.16015625,108.04914093,356.05377197,-6799.38476563,107.33296204,-296.97210693,11011.99902344,89.43822479,-662.08618164,40972.53515625,178.53422546,-151.25808716,-20359.89453125,174.84912109,-20.35385132,-6433.59326172,138.99694824,392.72338867,-2883.83300781,2.38822288187091,1.82733641003904,14.6605379580599
2.708333,69.75091553,-251.8548584,11281.71679688,65.01185608,-1109.55517578,24050.23242188,84.79272461,-810.80249023,47889.84765625,106.48419189,476.50543213,-8053.21972656,103.76612854,-155.17906189,11875.45507813,86.93980408,-796.96160889,50020.88671875,67.66027069,-307.15725708,-8745.17773438,111.25524902,-1164.96875,-30567.3125,119.74648285,-844.83178711,13725.62011719,109.55859375,293.70721436,-5351.49365234,103.66474152,-182.48176575,17354.08984375,85.44480896,-235.1071167,53303.98828125,172.76437378,-362.10250854,-16692.48828125,173.2101593,-181.61499023,-3922.12036133,144.80389404,110.23529053,-8614.83496094,3.90091364941643,3.18958174593297,13.4250332625824
2.716667,68.48091888,-119.24034119,13781.84375,58.60840988,-778.41601563,27849.65820313,83.10198975,-249.66217041,45602.68359375,110.05092621,380.60083008,-8860.86035156,102.87365723,10.59143066,18361.20507813,82.87510681,-207.05360413,67498.5625,61.64312744,-412.48345947,-2409.35986328,100.96925354,-1393.38989258,-21004.36523438,116.91449738,-715.83447266,13972.22363281,110.64403534,254.45091248,-3032.65209961,102.60539246,-20.10879517,20498.97070313,85.32484436,275.79675293,55142.19140625,167.32543945,-571.4942627,-10222.01171875,169.89358521,-260.89736938,-219.55680847,142.80900574,1.00601196,-5198.45947266,6.27440835679324,4.01477348406261,12.9362048325347
2.725,68.53363037,-5.23017883,13384.60644531,55.84672928,-470.65673828,24381.02929688,81.98396301,148.30543518,36915.1796875,113.13162231,305.36737061,-9738.15820313,103.97264862,186.84738159,19169.85351563,85.01529694,483.29949951,68824.796875,56.72789764,-397.45141602,4804.49072266,87.00330353,-1481.18823242,-6745.296875,110.08183289,-602.2520752,12326.13867188,113.01204681,249.02702332,-2452.18481445,103.72419739,205.85067749,19549.90039063,88.65579224,836.64086914,47346.8046875,161.46691895,-613.72424316,-3381.51489258,167.54403687,-187.99499512,4654.4609375,135.2149353,36.80664063,6152.7109375,8.15663680151273,4.47547915322517,12.8093217124425
2.733333,70.1648407,107.22770691,11441.28808594,52.58242416,-299.61532593,17418.20117188,86.90276337,357.82821655,23766.48632813,115.15694427,243.3757019,-10902.47949219,106.52983093,388.04174805,13387.75878906,90.59355164,1203.39709473,54810.50390625,55.5600853,-259.01159668,12375.95703125,72.47100067,-1484.75219727,8509.91015625,102.2770462,-567.05114746,13306.47753906,116.39030457,265.39840698,-4268.59521484,106.49725342,426.33874512,14609.4453125,97.33640289,1291.78735352,31771.80273438,156.2401123,-529.3659668,4538.45898438,164.73780823,-41.73873901,8875.515625,131.41641235,146.1958313,14680.93554688,9.65719227529689,4.72654320737908,11.788767150094
2.741667,70.57683563,209.51095581,10736.99121094,50.88787842,-241.08528137,10397.81152344,91.12008667,444.90005493,13040.98046875,116.78120422,161.42578125,-12986.96875,110.47861481,543.70599365,3373.5456543,102.1795578,1706.04187012,30251.09375,55.17411041,-108.52039337,18292.76757813,58.20232773,-1374.6784668,20198.25,95.93515778,-503.32702637,14095.87207031,118.46279144,257.28210449,-7240.92382813,110.87327576,552.07019043,5650.21386719,112.2980957,1497.66723633,9091.65527344,152.40649414,-444.91882324,9936.78125,165.73809814,59.89013672,8987.59277344,141.1315155,383.36715698,14339.84375,10.00936295832,3.31139508123574,9.9007920175374
2.75,71.96590424,262.30413818,11007.95507813,49.33198166,-237.89385986,5719.35693359,96.22764587,462.79129028,6862.68603516,118.13687897,48.85360718,-14967.67480469,115.4991684,547.08984375,-8456.859375,121.50232697,1822.07714844,-1414.296875,54.67146683,52.23575592,20658.32226563,50.01285934,-1117.04589844,27823.23242188,96.60301208,-327.39303589,13703.62109375,120.13219452,158.49594116,-10884.69238281,117.16018677,542.59460449,-5937.90673828,130.86138916,1441.80651855,-16381.0859375,149.34111023,-341.72027588,10769.89160156,167.59381104,114.54498291,4955.93798828,146.91812134,601.72637939,10251.99902344,9.99704013644341,1.31144575806592,8.99605169259266
2.758333,75.02352142,331.82922363,10227.32714844,47.85198975,-201.60293579,4365.74707031,99.79177094,482.57867432,2723.32739258,118.4359436,-110.01991272,-14865.78125,122.78276825,365.97106934,-20393.37890625,145.7253418,1594.58911133,-32905.265625,53.3860054,236.86859131,19632.4453125,40.06316757,-774.60992432,31794.6328125,93.15509033,-124.947052,13963.00097656,121.82843018,17.11677551,-14486.86914063,123.41685486,419.43334961,-16841.14453125,144.33987427,1154.91235352,-36567.69140625,146.86169434,-245.73394775,9815.42773438,171.60823059,131.9682312,39.42199707,154.32023621,629.75311279,4072.74194336,9.89734835012266,1.99597511211031,8.24977507889523
