Time,ring_jump_1_left_shoulder_angle,ring_jump_1_left_shoulder_angle_v,ring_jump_1_left_shoulder_angle_a,ring_jump_1_left_elbow_angle,ring_jump_1_left_elbow_angle_v,ring_jump_1_left_elbow_angle_a,ring_jump_1_left_wrist_angle,ring_jump_1_left_wrist_angle_v,ring_jump_1_left_wrist_angle_a,ring_jump_1_left_hip_angle,ring_jump_1_left_hip_angle_v,ring_jump_1_left_hip_angle_a,ring_jump_1_left_knee_angle,ring_jump_1_left_knee_angle_v,ring_jump_1_left_knee_angle_a,ring_jump_1_left_ankle_angle,ring_jump_1_left_ankle_angle_v,ring_jump_1_left_ankle_angle_a,ring_jump_1_right_shoulder_angle,ring_jump_1_right_shoulder_angle_v,ring_jump_1_right_shoulder_angle_a,ring_jump_1_right_elbow_angle,ring_jump_1_right_elbow_angle_v,ring_jump_1_right_elbow_angle_a,ring_jump_1_right_wrist_angle,ring_jump_1_right_wrist_angle_v,ring_jump_1_right_wrist_angle_a,ring_jump_1_right_hip_angle,ring_jump_1_right_hip_angle_v,ring_jump_1_right_hip_angle_a,ring_jump_1_right_knee_angle,ring_jump_1_right_knee_angle_v,ring_jump_1_right_knee_angle_a,ring_jump_1_right_ankle_angle,ring_jump_1_right_ankle_angle_v,ring_jump_1_right_ankle_angle_a,ring_jump_1_temple_spine_angle,ring_jump_1_temple_spine_angle_v,ring_jump_1_temple_spine_angle_a,ring_jump_1_spine_angle,ring_jump_1_spine_angle_v,ring_jump_1_spine_angle_a,ring_jump_1_spine_tail_angle,ring_jump_1_spine_tail_angle_v,ring_jump_1_spine_tail_angle_a,NeckAng,SpineAng,TailAng
2.608333,120.57945251,64.28039551,978.29095459,117.97507477,54.91699219,3137.64746094,167.21102905,31.302948,-608.51928711,97.36764526,-136.54129028,-5131.84375,77.27420807,229.41169739,-6865.30566406,106.46085358,32.37495422,-2985.84863281,121.00118256,37.11669922,20.46875,111.88363647,-7.39349365,1503.30944824,159.78305054,-37.43591309,762.78729248,98.51291656,-43.39767456,-1065.92431641,73.50565338,193.91212463,-2426.32568359,95.84224701,51.41471863,121.08535767,163.16612244,30.80307007,-2712.40917969,167.54092407,-45.76812744,1126.09350586,159.35940552,266.43539429,4433.82910156,3.17943043820279,8.38504865866435,2.97611875435141
2.616667,121.48206329,73.35708618,-105.26939392,118.66513824,89.32044983,2527.67260742,167.80187988,8.28567505,-1248.22973633,96.63772583,-186.91246033,-2966.65039063,78.9755249,153.55773926,-7414.03564453,106.38178253,8.43818665,-3731.51293945,121.52490234,17.34031677,203.22219849,112.24344635,-12.75840759,2372.61010742,159.47259521,-41.38809204,1326.38024902,98.02023315,-55.63682556,-1186.13671875,75.04917908,169.63523865,-3010.93383789,97.21272278,56.80107117,-1310.92749023,163.88053894,-5.68435669,-4852.61035156,168.5836792,-8.85879517,489.28436279,162.55311584,369.2024231,2727.7722168,3.42074994672028,8.5951240027173,2.07884444409919
2.625,121.83114624,63.94996643,-421.3081665,119.5280838,98.14552307,2038.26342773,167.61387634,-38.90197754,-1291.98059082,94.2310791,-212.96783447,965.87860107,80.122612,57.73117065,-6398.43847656,106.22817993,-34.38011169,-3612.87158203,121.49349976,27.68692017,513.73321533,111.78898621,21.12586975,3418.55297852,158.21327209,-25.63476563,2322.49829102,97.59536743,-69.97543335,-1830.81311035,76.52909088,146.84623718,-3763.59692383,97.67964172,37.64526367,-2432.58837891,163.94865417,-62.14355469,-5677.73193359,167.90834045,-7.7923584,433.44024658,168.82170105,457.01583862,-3787.14331055,3.74611683324136,9.06197066425093,0.783668438798112
2.633333,122.50530243,45.19500732,-452.58242798,121.08111572,95.9362793,1696.57873535,169.0140686,-54.6685791,-789.23309326,92.01763153,-191.33895874,4486.76269531,80.10790253,-9.85168457,-4625.90527344,105.92194366,-78.64173889,-2026.31140137,121.21244049,47.62573242,687.6282959,111.2881012,80.46005249,3913.65161133,158.28152466,11.34048462,2826.25708008,97.01078033,-88.25111389,-2727.32495117,77.56567383,117.5415802,-4673.30419922,97.82365417,3.26477051,-3434.94848633,162.37815857,-132.84713745,-5620.04785156,168.01707458,-30.78567505,-321.27685547,173.41848755,373.04550171,-12020.32714844,4.23252221982798,9.13646511716772,0.406422876932337
2.641667,122.83613586,39.70298767,-239.30984497,121.77241516,107.87742615,2208.23950195,166.41096497,-43.4286499,930.82275391,89.97212219,-114.9344635,5865.68115234,79.36647797,-17.69233704,-2141.20532227,105.45430756,-113.23532104,267.72598267,121.01556396,64.71580505,220.15991211,111.52716064,127.65846252,3305.85473633,158.71110535,48.32901001,2526.76879883,96.07811737,-104.88189697,-3515.57739258,78.34822845,76.73416138,-5416.32617188,97.47199249,-38.74809265,-3956.12280273,160.77433777,-181.02325439,-4978.13867188,167.57023621,-42.23144531,-1032.29833984,178.72787476,157.51998901,-20059.61132813,4.73284567088204,9.32871667483609,2.13921957274549
2.65,122.95465088,48.30383301,563.40612793,122.11732483,131.52267456,3531.4387207,165.66003418,-18.62335205,1955.17089844,88.7960434,-12.23373413,5093.71142578,77.96710968,-0.85121155,36.9048996,103.90906525,-91.24557495,1014.18835449,122.80897522,62.19604492,-550.18218994,114.15684509,148.94271851,2129.47949219,159.66091919,76.25320435,1882.0345459,95.17090607,-139.94697571,-3962.54980469,79.0067749,18.01979065,-5539.48486328,96.73894501,-68.11958313,-3667.64013672,158.88053894,-206.84005737,-3797.68334961,166.88340759,-35.96496582,-298.9050293,177.89494324,-54.39834595,-22201.47070313,5.20552635827859,9.64625045188941,3.07921285338912
2.658333,123.01889801,55.53634644,1250.73156738,122.6681366,164.49485779,4401.49658203,165.14379883,5.16586304,1304.56030273,89.94855499,36.20193481,2775.46459961,78.17081451,6.38648987,-561.46044922,102.56193542,-29.60342407,-747.98339844,123.64357758,42.18933105,-775.76428223,116.5464325,143.84376526,1716.56445313,160.55441284,70.75088501,1229.44396973,93.99279022,-185.0957489,-4024.24804688,79.18656921,-41.33003235,-4720.47802734,96.49745941,-103.35250854,-2977.47924805,157.34570313,-227.94647217,-2688.57958984,166.78338623,-43.79486084,898.93768311,173.45332336,-303.75411987,-18112.47265625,5.78862043525161,10.0079121910538,4.06412382828798
2.666667,123.76976013,68.28063965,1231.34277344,124.6734848,216.07475281,4087.97167969,166.83900452,33.7612915,353.6340332,91.62361908,24.41040039,-324.18624878,79.79151154,20.13549805,-3525.23364258,101.28025055,6.93077087,-3684.36035156,124.53122711,17.86888123,-504.58465576,117.79797363,133.55773926,2527.76782227,161.02058411,67.96386719,882.51098633,92.6727066,-229.088974,-3585.89941406,78.57928467,-85.21232605,-2956.21655273,95.28327179,-121.90963745,-2131.79150391,155.67320251,-248.1817627,-2301.04345703,166.37359619,-42.93197632,1114.40917969,170.84385681,-469.96765137,-14660.66699219,6.39892313213787,10.5513626922365,4.42898905594921
2.675,124.60679626,86.39602661,851.81445313,127.03900909,266.93658447,3111.66308594,168.24841309,16.65054321,523.8659668,92.97995758,-25.03845215,-2526.67285156,80.31040192,-2.35458374,-5575.34912109,103.71689606,-65.99914551,-6903.85791016,123.14123535,17.68325806,278.75183105,117.36943817,154.43481445,3784.13330078,161.46278381,74.43023682,1322.19360352,90.14289093,-253.92036438,-2427.2355957,77.01061249,-99.56993103,-331.47763062,94.51950073,-137.09907532,-1306.3157959,153.50360107,-264.23721313,-2273.15454102,166.44506836,-14.96948242,1052.06811523,166.57948303,-475.89645386,-11343.48535156,7.2933912763118,10.6094139265212,6.12006083920434
2.683333,125.4280777,94.54246521,273.94830322,129.7310791,289.49060059,1718.28564453,167.59698486,-10.01754761,1244.95544434,91.26203156,-59.1532135,-2024.06005859,79.69637299,-99.6635437,-5842.80126953,104.82636261,-204.61357117,-9019.21875,122.56497192,36.6342926,674.27429199,117.38517761,211.16264343,3770.16625977,161.42253113,91.99142456,2054.34423828,87.5452652,-267.62762451,-1244.78405762,75.66688538,-86.74858093,2549.94604492,92.3430481,-144.20555115,-773.55773926,150.67886353,-281.91741943,-2197.88598633,165.60565186,6.89315796,1592.39196777,161.30862427,-500.26626587,-6811.07568359,8.34238871767266,10.5435016256421,7.67875360542827
