Time,high_height_jump_1_left_shoulder_angle,high_height_jump_1_left_shoulder_angle_v,high_height_jump_1_left_shoulder_angle_a,high_height_jump_1_left_elbow_angle,high_height_jump_1_left_elbow_angle_v,high_height_jump_1_left_elbow_angle_a,high_height_jump_1_left_wrist_angle,high_height_jump_1_left_wrist_angle_v,high_height_jump_1_left_wrist_angle_a,high_height_jump_1_left_hip_angle,high_height_jump_1_left_hip_angle_v,high_height_jump_1_left_hip_angle_a,high_height_jump_1_left_knee_angle,high_height_jump_1_left_knee_angle_v,high_height_jump_1_left_knee_angle_a,high_height_jump_1_left_ankle_angle,high_height_jump_1_left_ankle_angle_v,high_height_jump_1_left_ankle_angle_a,high_height_jump_1_right_shoulder_angle,high_height_jump_1_right_shoulder_angle_v,high_height_jump_1_right_shoulder_angle_a,high_height_jump_1_right_elbow_angle,high_height_jump_1_right_elbow_angle_v,high_height_jump_1_right_elbow_angle_a,high_height_jump_1_right_wrist_angle,high_height_jump_1_right_wrist_angle_v,high_height_jump_1_right_wrist_angle_a,high_height_jump_1_right_hip_angle,high_height_jump_1_right_hip_angle_v,high_height_jump_1_right_hip_angle_a,high_height_jump_1_right_knee_angle,high_height_jump_1_right_knee_angle_v,high_height_jump_1_right_knee_angle_a,high_height_jump_1_right_ankle_angle,high_height_jump_1_right_ankle_angle_v,high_height_jump_1_right_ankle_angle_a,high_height_jump_1_temple_spine_angle,high_height_jump_1_temple_spine_angle_v,high_height_jump_1_temple_spine_angle_a,high_height_jump_1_spine_angle,high_height_jump_1_spine_angle_v,high_height_jump_1_spine_angle_a,high_height_jump_1_spine_tail_angle,high_height_jump_1_spine_tail_angle_v,high_height_jump_1_spine_tail_angle_a,NeckAng,SpineAng,TailAng
2.666667,78.98980713,-529.05090332,-522.90045166,126.02477264,-1132.59936523,-45832.3359375,128.48524475,-1807.6114502,-10494.36816406,106.83511353,524.10784912,-14563.02929688,97.46405029,-93.09288788,3596.4909668,79.17139435,-808.3067627,38428.8671875,67.21595764,-745.22229004,-1333.81945801,79.42716217,-1317.05517578,1101.24401855,104.89012146,-567.86102295,26180.859375,118.50897217,228.2833252,-31442.44140625,110.28394318,-304.86611938,5843.79589844,85.89073944,-135.13818359,47938.640625,161.1630249,213.87742615,-10077.59667969,165.94676208,-143.97340393,12675.33203125,131.64508057,332.23751831,10587.43261719,1.64377024960968,9.57836093004756,13.7288381668727
2.675,73.15583801,-485.80465698,2177.89306641,111.18447113,-1470.62463379,-27786.57617188,108.93886566,-1604.10803223,19271.76367188,109.29376221,355.09326172,-14440.68457031,97.42391205,5.22171068,10417.06738281,76.02809906,-224.56636047,57596.99609375,62.59249496,-683.64746094,12283.32519531,67.55776215,-1220.28149414,13181.66894531,103.19247437,-376.05212402,27773.8828125,121.01116943,-62.09938812,-29850.22460938,109.93769073,-241.94224548,13017.12792969,87.58390045,280.70443726,52943.171875,164.12918091,71.54373932,-13498.11132813,168.42097473,-110.4213028,10724.72070313,139.09162903,382.7232666,1833.83618164,3.19552491114089,7.60950677382778,12.0282081954575
2.683333,67.67288971,-434.92584229,5047.09960938,96.23074341,-1591.2154541,-8001.29785156,97.55535889,-1135.82800293,37580.83203125,111.40219879,223.28973389,-12875.50585938,98.11288452,119.07952118,13224.00488281,77.64321899,377.82315063,64101.953125,58.04191208,-456.30599976,24290.95507813,59.88101578,-1035.72216797,19005.46679688,103.47659302,-90.37094879,27701.77539063,115.72895813,-296.53604126,-20113.484375,106.80896759,-95.90546417,16432,90.97206879,776.03070068,45320.28125,165.85322571,-38.98926163,-14432.26074219,172.61306763,199.13148499,5861.67480469,140.90985107,474.71392822,1138.14099121,4.86610720600787,4.8564847178009,11.8407056189288
2.691667,65.96929169,-386.2442627,8500.33007813,82.7178421,-1517.4465332,8627.25683594,93.71279144,-623.41467285,37530.72265625,112.371315,159.70674133,-12413.44238281,99.32239532,252.74150085,10569.3984375,82.26777649,933.58966064,55198.54296875,52.70953751,-182.76841736,32820.61328125,52.33049011,-818.57501221,21480.2109375,99.38004303,182.73316956,26881.28320313,115.71973419,-468.32003784,-7190.06640625,107.83507538,115.4438858,17254.6953125,97.96312714,1292.0501709,29916.54101563,164.09179688,-152.93031311,-12140.82910156,169.13424683,315.63571167,4841.67138672,136.69613647,437.22537231,5609.12353516,6.4860709059214,4.36683188192057,12.4909603241355
2.7,64.85901642,-350.7321167,13504.15429688,71.59094238,-1331.49951172,19752.84570313,93.16426849,-261.64584351,26029.53125,113.93147278,118.65738678,-12733.27832031,101.26055145,391.80651855,4475.55566406,91.57054901,1442.98547363,35348.27734375,49.59331131,129.03897095,34566.15234375,45.61823273,-630.11853027,22022.67382813,100.32796478,383.64657593,21558.81445313,110.70483398,-494.20910645,4853.32421875,108.02327728,283.40640259,14767.28027344,110.0570755,1535.21618652,9781.18457031,160.81581116,-282.05599976,-9316.9375,173.0715332,155.42863464,-2694.55932617,143.44535828,362.96664429,5375.01953125,7.24524659782847,3.08752142484512,12.0557509986089
2.708333,62.0638504,-250.25553894,19820.68945313,60.52806854,-1095.2668457,25692.68164063,92.68691254,-177.60057068,10828.16308594,114.0333786,5.33126879,-13168.23046875,105.00208282,421.60549927,-2870.57470703,106.66423035,1734.57080078,11154.89257813,54.22609711,461.90933228,29422.6328125,40.68129349,-471.93850708,20450.68359375,107.46572876,569.38885498,11894.4296875,103.32434845,-327.35134888,15487.78320313,111.55595398,404.82546997,7482.56689453,129.5222168,1442.09729004,-15401.984375,157.598526,-348.14883423,-6921.51513672,179.75675964,78.60932159,-11145.69042969,149.86087036,492.33770752,1951.23864746,7.76742193881882,1.39953250765407,9.89329611302313
2.716666,57.86323929,-37.09492111,25680.17773438,51.81067276,-859.9375,27384.08007813,90.87423706,-261.37850952,-3090.2121582,115.63747406,-170.15710449,-13256.79199219,110.86438751,324.50970459,-10097.2890625,125.4179306,1685.17175293,-14347.86621094,60.87747192,756.09460449,20191.31445313,37.80269241,-305.01107788,17718.83789063,115.02780914,671.05096436,2248.30322266,99.10734558,-112.09229279,21781.87695313,117.84294891,439.36206055,-2568.84472656,148.22914124,1126.52148438,-37537.7578125,154.88023376,-368.10061646,-4133.10498047,177.83511353,5.67123461,-8087.78466797,157.02496338,643.42156982,-1396.3182373,8.51231701722865,2.18299902878512,8.49900256178264
2.725,54.58670425,256.65319824,28000.37304688,45.37791443,-626.00305176,26090.6484375,90.40470886,-365.00393677,-9326.69140625,114.13469696,-313.92398071,-10298.58203125,115.97284698,154.3530426,-14332.58105469,145.56968689,1348.02233887,-37380.71875,70.71733093,894.51000977,8942.56347656,36.7792244,-143.447052,15115.51855469,123.20445251,606.37695313,-6168.14648438,98.80391693,134.57276917,18926.57226563,121.83827209,392.98373413,-12544.29589844,153.94914246,689.69311523,-46020.93359375,152.31967163,-378.612854,-1981.20751953,176.63856506,-143.47367859,-1760.64282227,155.33882141,621.65911865,-8158.71435547,9.3241723282927,3.09500212389494,7.94711234378704
2.733333,59.60987854,564.90551758,23566.30664063,42.37760925,-399.90307617,22595.20703125,83.8269043,-473.31378174,-5857.11132813,109.37779236,-392.12689209,-3124.89306641,114.98438263,-17.80288887,-13142.31445313,154.49620056,876.13757324,-50119.8515625,77.90264893,860.9317627,-2429.22387695,36.13738251,-22.2071476,12818.78320313,125.92350006,473.03479004,-11118.48632813,106.20697021,328.46377563,7159.9375,125.40183258,213.46841431,-21668.13867188,152.07989502,140.57847595,-42442.7890625,149.20603943,-387.31173706,-786.97912598,171.68797302,-145.25544739,806.86364746,163.53309631,443.11968994,-20359.30273438,10.1714154261386,4.54654766661432,6.79245398395754
2.741667,69.16036987,789.31591797,12786.04980469,40.24698257,-209.23353577,17758.46875,80.77335358,-571.98187256,850.61529541,103.094841,-395.30926514,4434.81445313,111.6710434,-139.0897522,-8551.94140625,155.97956848,345.03161621,-49847.71484375,85.43330383,739.59576416,-11737.73242188,36.27832413,49.76986313,9987.58007813,127.69752502,298.67822266,-11467.49511719,111.21942139,407.14190674,-6394.23876953,125.87796021,-30.78483963,-27932.37695313,148.0202179,-274.2756958,-35147.40625,145.20376587,-399.69104004,803.56665039,170.40711975,-12.29370213,3159.37792969,168.20428467,196.52574158,-30849.91601563,11.2333603077411,4.10431210214675,5.25099681188749
