Time,low_height_jump_2_left_shoulder_angle,low_height_jump_2_left_shoulder_angle_v,low_height_jump_2_left_shoulder_angle_a,low_height_jump_2_left_elbow_angle,low_height_jump_2_left_elbow_angle_v,low_height_jump_2_left_elbow_angle_a,low_height_jump_2_left_wrist_angle,low_height_jump_2_left_wrist_angle_v,low_height_jump_2_left_wrist_angle_a,low_height_jump_2_left_hip_angle,low_height_jump_2_left_hip_angle_v,low_height_jump_2_left_hip_angle_a,low_height_jump_2_left_knee_angle,low_height_jump_2_left_knee_angle_v,low_height_jump_2_left_knee_angle_a,low_height_jump_2_left_ankle_angle,low_height_jump_2_left_ankle_angle_v,low_height_jump_2_left_ankle_angle_a,low_height_jump_2_right_shoulder_angle,low_height_jump_2_right_shoulder_angle_v,low_height_jump_2_right_shoulder_angle_a,low_height_jump_2_right_elbow_angle,low_height_jump_2_right_elbow_angle_v,low_height_jump_2_right_elbow_angle_a,low_height_jump_2_right_wrist_angle,low_height_jump_2_right_wrist_angle_v,low_height_jump_2_right_wrist_angle_a,low_height_jump_2_right_hip_angle,low_height_jump_2_right_hip_angle_v,low_height_jump_2_right_hip_angle_a,low_height_jump_2_right_knee_angle,low_height_jump_2_right_knee_angle_v,low_height_jump_2_right_knee_angle_a,low_height_jump_2_right_ankle_angle,low_height_jump_2_right_ankle_angle_v,low_height_jump_2_right_ankle_angle_a,NeckAng,SpineAng,TailAng
2.533333,65.15119934,367.69680786,895.42175293,40.98165512,71.71661377,23403.078125,53.72649002,434.76516724,45480.0390625,93.88124847,-215.25108337,2709.77612305,90.66820526,-474.76669312,680.57769775,130.2467041,-457.14767456,-3581.6796875,107.0826416,285.37927246,-701.70910645,59.79588699,411.5362854,5514.75146484,120.1674881,537.10479736,4900.46826172,117.64599609,-256.82006836,-6767.07617188,104.61929321,-580.66436768,-3727.69018555,136.89477539,-622.34954834,-10953.40820313,11.6175040048371,2.15542413045294,3.35160507302855
2.541667,68.97497559,388.47653198,-876.58081055,42.57003403,283.60580444,19143.96679688,61.56134415,920.29125977,38055.671875,94.03993225,-191.27723694,1400.62145996,87.45830536,-474.51156616,474.77508545,126.0787735,-509.1348877,-2943.04638672,109.63305664,275.67651367,-1600.62158203,64.31768036,437.86090088,2736.02783203,123.63108826,557.36181641,4597.41943359,115.97949219,-321.81085205,-7943.40429688,99.1834259,-607.91992188,-2674.98291016,131.30368042,-678.66387939,-7437.37402344,11.1700448210884,3.23848180246287,5.14338063560048
2.55,72.16719055,385.32516479,-1965.13305664,46.15943527,435.07662964,13550.66113281,73.10546875,1313.79150391,21330.89648438,92.28634644,-168.80867004,539.86499023,83.74879456,-469.87884521,35.78674316,121.56012726,-528.30358887,-1556.12731934,111.66195679,249.8399353,-2231.87475586,68.09104919,448.72036743,1408.30810547,129.98545837,588.0045166,2662.87841797,113.40896606,-422.15133667,-7848.83935547,94.83058929,-625.37780762,-1765.69824219,126.13829803,-704.67218018,-4757.44189453,10.7595131131047,4.39388280632533,6.35402083328388
2.558333,74.7352066,346.19155884,-2852.21923828,50.31167603,511.40322876,7613.8828125,87.40150452,1439.42529297,1640.10253906,90.49539948,-176.72065735,-69.75158691,79.65859985,-469.26031494,-110.04852295,116.96212769,-502.03253174,-402.12738037,113.59315491,221.34033203,-2107.10839844,71.0535965,442.08404541,1607.07519531,135.03144836,621.96051025,1332.87109375,108.42588043,-505.88668823,-6599.36474609,88.95114136,-633.34014893,-930.07873535,120.39847565,-731.6628418,-2796.14624023,10.3674364479996,5.64057824332476,7.24161155370472
2.566667,78.40906525,296.62469482,-3799.15966797,56.42603302,525.75274658,2318.73876953,100.4822464,1223.94702148,-16340.69238281,88.62150574,-198.58032227,-1027.13134766,75.41519165,-471.72235107,-219.15283203,112.84841156,-484.86688232,-33.46160889,115.43299103,194.65538025,-1683.2989502,74.23927307,438.9642334,2208.9230957,140.62068176,626.76037598,-950.39428711,102.89765167,-547.49047852,-3670.91503906,83.76806641,-635.74572754,-151.26403809,114.19422913,-764.89068604,-1315.94726563,9.94470858712786,6.87538263782714,7.18988407894686
2.575,80.50376892,271.99700928,-3567.69628906,60.8032608,514.79180908,-708.89801025,112.52816772,917.41326904,-26729.78125,87.22322845,-201.87812805,-1490.45678711,71.32738495,-477.33508301,-169.78729248,108.75390625,-490.56396484,-291.63360596,116.94351196,194.41650391,-1268.75195313,78.42753601,470.36645508,2313.39941406,145.18901062,615.23712158,-4670.74511719,97.93041229,-563.91577148,-47.12554932,78.03910828,-637.88946533,518.90136719,106.97085571,-776.77685547,251.52038574,9.36757841171344,8.05903198965983,7.98161507184825
2.583333,82.3406601,248.02742004,-2302.453125,64.54733276,484.7230835,-1285.15869141,118.53721619,599.7713623,-23296.20898438,85.80347443,-213.02131653,-1303.22216797,67.65234375,-480.16647339,-79.715271,105.6708374,-518.74963379,-916.25610352,118.26609802,195.30067444,-839.90905762,82.586586,518.90087891,2208.85595703,150.10328674,578.73217773,-7643.84570313,94.04842377,-544.00671387,2625.66381836,73.06225586,-629.09552002,1049.37744141,100.22789764,-763.35394287,2241.60693359,8.6796665396131,8.9568310147885,8.90564182390088
2.591667,83.76889038,223.19732666,-1217.0970459,67.59844208,455.98373413,-372.87994385,116.63679504,376.54312134,-9376.16601563,84.13870239,-226.86660767,-1127.52185059,64.21025848,-480.60610962,78.07861328,101.2852478,-529.66455078,-785.94848633,119.53664398,190.33447266,-715.03356934,86.79418945,546.89538574,1822.35498047,155.48217773,471.96868896,-9493.82421875,90.10077667,-497.26403809,4696.48144531,68.00078583,-618.16583252,1976.06567383,93.73351288,-728.91162109,4340.80078125,7.82737721548767,9.82191650497065,8.42434391458042
2.6,85.84165955,223.43269348,-484.80224609,71.52770996,463.12698364,1128.97070313,120.1764679,322.74420166,4966.04736328,81.75498199,-235.14259338,-361.96228027,59.44893646,-471.78921509,937.47558594,96.10879517,-528.71612549,274.90234375,121.95857239,174.78294373,-1317.06433105,91.744133,533.29779053,428.26263428,160.41157532,356.36642456,-10782.50390625,85.21161652,-444.4942627,6788.48583984,62.74732971,-598.22827148,3967.77929688,88.40344238,-681.7701416,6320.18261719,6.96988170341728,10.2026484018107,7.23567276500973
2.608333,88.00205994,226.71615601,317.43087769,75.63819122,487.50106812,2668.11914063,118.94358826,531.84912109,14303.87207031,79.58071136,-246.96739197,1261.2175293,55.65106583,-473.96887207,2374.71728516,90.64064026,-525.74761963,1489.37866211,123.27254486,166.96731567,-2075.40942383,96.54327393,526.9465332,-1674.47851563,162.66783142,269.35287476,-10067.421875,81.1295166,-397.77496338,8321.9375,57.59883118,-577.75335693,6804.65966797,82.85993958,-626.38885498,8383.22949219,6.08212579272067,10.556867620894,6.18113570053776
2.616667,89.78492737,236.68029785,831.84906006,80.00013733,530.77032471,3702.66821289,127.76556396,841.3137207,16433.70703125,77.41299438,-239.87258911,2689.59692383,51.13277054,-460.17773438,3622.26342773,86.97587585,-504.02328491,2571.12597656,124.85341644,154.15840149,-2370.00341797,101.23594666,522.13757324,-3101.95581055,162.31787109,192.18597412,-7556.04052734,78.36535645,-323.87695313,9205.67578125,52.80505371,-518.06030273,9806.25683594,77.74744415,-554.58178711,10073.41699219,5.11448162099618,10.6085351595832,6.62726061522811
2.625,91.75444031,242.7570343,1020.62634277,84.20243835,563.52636719,4089.77416992,133.38237,1027.15185547,10206.97753906,76.0198288,-195.50971985,3601.17211914,48.45396805,-412.30056763,4691.04833984,83.45593262,-479.47210693,3936.90209961,124.97950745,123.75106812,-2392.41845703,104.23526001,494.78552246,-3844.82128906,162.97094727,128.02841187,-6008.18847656,76.56230927,-225.35850525,9980.6953125,48.52567291,-407.49102783,12632.26464844,72.77448273,-458.76998901,10964.01464844,4.11989694190401,10.940387647411,6.65362478999276
2.633333,93.32366943,251.39686584,1176.42529297,88.78659058,593.22167969,3550.17944336,147.38113403,1044.58300781,-2642.08374023,73.59360504,-140.8782959,4199.36767578,44.11821365,-351.9352417,5922.96191406,79.90063477,-445.51019287,5136.5,126.668396,93.90090942,-2734.82666016,109.04092407,438.3732605,-5434.10693359,165.22720337,104.34524536,-5899.40283203,74.75761414,-130.41374207,10444.64648438,44.88972473,-270.01177979,14715.64355469,69.21484375,-340.050354,11152.77929688,3.17385514637761,11.5013000061453,7.05639593908366
2.641667,95.98223114,260.53857422,954.67163086,94.48299408,625.37664795,2072.37597656,158.14086914,914.85198975,-14649.57226563,72.74765015,-103.25805664,3976.27807617,41.59514236,-300.54705811,6652.49658203,75.56401062,-395.92279053,6278.0234375,127.48127747,76.86302185,-2784.91088867,112.73039246,390.30334473,-7252.54003906,166.89512634,84.83779907,-5685.56542969,73.85919952,-47.0124054,9776.65429688,43.32453156,-132.07588196,14910.31835938,67.01676178,-241.46209717,10268.09667969,2.32829818326043,11.8660060435747,6.17461630346082
2.65,98.11597443,273.20092773,225.23178101,99.60177612,653.77685547,261.25793457,164.4029541,708.64624023,-20639.421875,72.43369293,-84.16816711,2608.25195313,39.31724548,-253.57551575,6839.23779297,71.36169434,-331.95458984,7619.65673828,128.06144714,63.04374695,-2165.17797852,116.45648193,341.42379761,-7675.30517578,167.30714417,24.01199341,-4903.85791016,73.68494415,31.06384277,7865.43017578,43.42858505,-2.34111786,13133.84570313,66.26654053,-163.49517822,7639.20019531,1.49748546118815,11.9725819354675,5.5044210821725
2.658333,100.63292694,283.30236816,-849.83935547,105.48088074,648.32519531,-1984.57580566,167.41159058,452.12051392,-20396.43554688,72.6326828,-63.66004944,997.23803711,38.06173325,-192.9234314,7136.14257813,69.33046722,-270.52581787,7896.89257813,128.02722168,33.89686584,-1339.09191895,117.89244843,253.45016479,-6872.71142578,166.4183197,-54.18319702,-3715.52001953,74.80878448,103.16955566,5061.09521484,44.51031494,108.60561371,10368.26660156,65.79056549,-103.0381012,5384.94042969,0.928685634918027,11.982982858678,4.73107603804119
2.666667,102.64881134,269.18634033,-2128.5871582,110.74679565,613.00323486,-4493.09521484,168.86454773,269.3145752,-16120.24804688,71.97489929,-53.99482727,442.77542114,36.44158936,-131.49090576,7755.92675781,68.28525543,-189.48181152,6585.31445313,128.24490356,19.78858948,-490.61264038,120.05039215,175.36300659,-6063.01611328,165.49324036,-92.71224976,-1795.29309082,76.11371613,146.03363037,1805.64782715,45.69948959,183.08200073,7514.88476563,64.33448792,-74.40601349,3826.91259766,1.46433340658614,12.0877478155912,5.75354535699805
2.675,105.1373291,238.93585205,-3702.96533203,116.31040955,559.97857666,-6373.51855469,170.39358521,163.35754395,-10886.0390625,70.59307861,-67.7243042,959.40472412,35.1416893,-62.12974548,7791.46191406,67.42837524,-113.8999176,5219.40869141,128.52194214,20.71182251,738.29650879,121.27740479,133.39790344,-4459.67578125,164.52838135,-77.29995728,927.57641602,77.67227936,141.49101257,-1672.7532959,47.25154877,220.0894165,4539.75585938,63.76136017,-85.63755035,870.62188721,2.11613645916935,12.0665379616841,6.86897177861324
2.683333,107.48986816,199.07905579,-5034.63818359,120.59111786,490.82733154,-7046.09228516,173.6335907,150.31570435,-7162.95654297,70.29398346,-80.91445923,2120.20410156,34.53159332,6.88659668,6933.25830078,65.68612671,-88.04405212,4007.20263672,128.61795044,39.65255737,2214.92895508,121.7229538,125.85792542,-1443.80200195,163.55322266,-33.56506348,3619.89282227,79.1459198,96.30439758,-4872.32958984,49.53927994,239.05548096,1737.91271973,63.46721649,-41.16786957,-1394.49475098,3.00664237338999,12.1294332445248,8.03969901247121
2.691667,108.81925201,154.24819946,-5476.48486328,124.31838989,422.04177856,-6785.89257813,172.39671326,144.36630249,-5479.68847656,70.1291275,-55.81893921,3474.68457031,35.510952,78.21792603,5850.85400391,65.34445953,-93.96842957,1665.44543457,128.7792511,63.75534058,3096.52368164,122.51942444,111.25610352,1295.18066406,163.59111023,2.17605591,4762.08740234,79.95810699,35.67481995,-6718.76123047,51.98791122,251.58050537,61.19247437,63.20434189,-57.38056183,-165.63397217,3.9143223833053,12.5920484274253,8.14845824245103
2.7,109.70256042,97.17140198,-5273.38427734,127.22834015,364.12460327,-5853.3515625,174.14781189,91.75598145,-6776.47070313,69.32279205,-3.35197449,4223.73486328,36.69477081,113.89720917,4687.25097656,65.27778625,-73.73912811,-446.7678833,129.26074219,96.900177,2979.80737305,123.36306,127.64183044,2552.88378906,164.06755066,43.43688965,4317.0546875,79.79639435,-36.06521606,-6811.88964844,54.02602005,236.43322754,-286.88537598,62.16482162,-126.04530334,1853.15856934,4.67253997864172,13.3542556838776,7.72303454483217
2.708333,110.08391571,46.54258728,-4875.40966797,129.89770508,322.76107788,-4731.81591797,174.80291748,4.35958862,-11476.58203125,68.98943329,64.56031799,4090.67382813,38.3571434,135.64282227,3530.93579102,64.62358856,-63.65512848,-616.43139648,130.41133118,133.85513306,2078.16064453,125.09339905,177.81341553,3230.68383789,165.01799011,92.39151001,2708.45751953,78.90708923,-103.27331543,-5813.40087891,55.96521378,214.3170929,-79.09347534,63.88716888,-128.25897217,3218.25170898,5.49776694323473,13.9919288853708,7.93597938430682
2.716667,110.42766571,13.78456116,-3911.63354492,132.46867371,293.66064453,-3902.00390625,175.96443176,-68.12072754,-16919.19921875,69.28739166,95.86700439,3451.81005859,39.34498978,157.12826538,3180.00219727,63.46749878,-97.19352722,0.71586609,131.77761841,152.02468872,737.47717285,125.88079071,221.96113586,3670.73730469,165.24485779,113.65661621,1231.99279785,77.71387482,-146.74705505,-4224.06640625,57.63456726,210.64990234,524.80053711,58.89618683,-32.52593994,8255.234375,6.51023620900058,14.4004815441593,8.54810774344538
2.725,110.37460327,-11.11305237,-1749.03540039,134.98703003,272.0539856,-3174.39648438,175.27896118,-224.50805664,-20050.19921875,71.47528839,96.4604187,2417.78955078,39.62153244,179.38143921,3663.6237793,63.36530304,-119.8216629,766.3581543,133.46166992,146.04324341,-1220.88220215,128.14923096,241.17202759,2704.31982422,166.50466919,120.19363403,-1594.37683105,76.16534424,-167.89527893,-2396.07666016,58.77441406,233.20117188,1611.85498047,58.5957222,59.46655273,11885.27050781,7.53159850527363,14.915670670157,9.72108044109193
2.733333,110.02375031,-33.81973267,244.91668701,136.98448181,243.31985474,-3641.16577148,171.09359741,-446.55761719,-19825.36328125,73.91980743,100.52192688,1877.40563965,41.69940948,209.72862244,3965.07861328,61.90377045,-101.90979004,3236.03271484,134.85874939,123.71002197,-3303.42675781,130.8631134,259.50506592,927.5769043,168.02328491,71.55181885,-6206.20507813,74.62466431,-176.13761902,-900.09979248,60.83247757,256.73245239,2503.67260742,58.51761627,146.11553955,9678.4140625,8.58493768730953,15.5074117859627,10.3336045816314
2.741667,109.76529694,-27.79258728,-501.09918213,139.12434387,213.88259888,-7738.58398438,168.79304504,-698.70880127,-15894.62695313,73.15205383,123.73001099,2662.41699219,43.61888123,257.20977783,4214.44287109,60.73567581,-60.26233673,6680.27587891,135.54066467,90.92468262,-4712.18847656,133.24282837,268.67828369,-403.54125977,168.84031677,60.19271851,-7607.08984375,73.19358826,-173.21174622,49.0411377,63.04237747,280.5039978,2800.97314453,64.2519455,340.63098145,10684.80078125,9.51081689173851,15.2964098979574,9.49077872334311
